year,price,mileage
2020,19.89,35.643
2019,25.2,34.945
2017,16.99,62.886
2022,23.775,0.357
2016,13.5,110.667
2020,25.499,15.342
2020,20.296,31.981
2022,23.998,9.146
2019,20.496,19.419
2020,24.997,23.906
2020,20.795,14.633
2015,10.995,94.216
2020,22.587,34.822
2020,23.997,17.714
2019,22.455,55.005
2022,30.982,6.315
2021,26.932,13.538
2020,26.995,14.73
2014,13.88,89.35
2018,20.077,31.75
2019,20.995,38.271
2019,20.595,29.744
2019,22.998,25.429
2022,24.998,8.343
2020,16,63.498
2017,14.456,79.959
2020,19.661,60.945
2019,23.744,35.673
2019,22.523,27.238
2020,21.488,23.777
2021,18.789,58.386
2020,19.998,36.028
2021,22.993,12.04
2019,20.894,54.676
2019,16.999,59.524
2015,12.8,100.856
2016,14.991,70.145
2020,22.995,26.554
2019,24.958,32.293
2022,25.782,0.24
2022,23.527,4.082
2015,16.69,18.772
2015,13.997,44.986
2020,19.899,61.882
2020,25.995,17.199
2017,14.771,70.7
2020,24.598,28.944
2019,27.388,28.235
2020,19.999,41.159
2018,21.958,30.555
2020,24.995,33.242
2019,26.991,27.368
2010,8.995,115.097
2020,23.996,16.437
2019,24.99,23.247
2018,16.999,59.638
2019,21.5,23.93
2016,18.931,29.715
2021,31.3,1.451
2020,19.699,31.981
2021,21.375,21.36
2020,25.9,45.452
2019,21.288,32.802
2019,25.395,25.125
2021,25.991,16.73
2018,19.888,17.097
2020,18.598,61.929
2020,20.289,29.19
2021,26.773,2.414
2020,19,45.052
2020,20.998,42.402
2017,12.981,91.773
2019,19.888,8.579
2020,23.588,23.837
2020,16.99,57.932
2022,31.991,7.267
2020,18.935,53.675
2020,17.995,67.384
2020,22.998,26.503
2019,22.995,47.748
2019,17.428,51.935
2019,23.996,22.474
2019,24.7,23.849
2017,15.995,45.7
2016,12.76,88.968
2020,23.613,24.281
2019,20.995,34.075
2020,22.59,12.194
2021,27.996,3.642
2020,20.495,16.486
2020,22.662,10.522
2016,14.722,81.786
2020,25.777,38.215
2017,10.991,105.736
2021,23.998,7.984
2020,14.99,66.766
2019,25.522,25.611
2022,28.996,1.644
2019,19.795,43.51
2020,19.565,53.747
2020,21.999,36.984
2020,21.9,58.706
2019,23.97,30.615
2020,22.86,9.345
2019,25.779,23.602
2016,12.5,80.925
2020,23.495,16.431
2019,22.597,44.695
2020,19.995,20.807
2020,26.99,1.601
2019,21.994,23.191
2021,23.2,47.92
2019,22.996,31.839
2020,21.5,16.616
2019,22.455,34.35
2020,18.495,61.709
2020,17.998,60.83
2020,19.895,30.65
2022,24.516,4.47
2019,18.3,77.406
2022,28.4,4.473
2020,18.9,55.775
2019,23,19.474
2019,21.99,15.177
2020,23.695,24
2016,12.778,79.927
2020,20.99,31.854
2020,16.777,65.229
2019,24.59,16.789
2020,21.498,31.251
2020,19.998,19.948
2015,15.753,50.764
2021,27.998,13.63
2018,17.995,44.897
2019,20.795,30.113
2020,19.9,58.081
2020,19.96,61.338
2020,22.998,20.027
2019,25.995,22.161
2013,9.559,97.448
2020,23.995,15.084
2019,18.495,47
2020,26.995,4.353
2020,24.175,20.277
2020,24.719,38.083
2020,17.995,62.137
2020,23.995,39.864
2019,26.69,11.222
2015,8.775,123.748
2021,21.266,27.841
2016,17.141,54.538
2021,23.855,12.854
2020,27.988,12.429
2014,13.995,60.027
2020,24.798,15.023
2020,16.9,60.554
2009,7.998,93.79
2022,23.399,6.019
2022,24.995,8.87
2016,15.807,64.344
2013,14.99,75.921
2020,22.395,7.398
2015,14.495,57.569
2020,24,47.437
2019,19.164,53.864
2020,24.996,8.937
2020,23.264,14.022
2017,13.74,94.377
2018,16.445,45.379
2020,22.595,11.965
2020,26.995,9.109
2020,20,60.988
2019,23.859,23.627
2019,22.895,24.639
2022,23.908,0.741
2017,15.678,54.151
2020,19.995,64.472
2019,20.517,32.919
2020,19.965,47.895
2019,19.996,52.567
2012,10.895,49.765
2021,24.977,21.273
2021,26,7.317
2020,22.598,36.069
2022,25.946,6.938
2020,22.795,26.836
2013,10.999,109.04
2019,18.995,56.581
2020,16.494,60.923
2022,23.311,8.026
2013,10.2,94.798
2019,20.986,47.77
2018,13.99,61.944
2019,26.39,35.304
2020,18.339,53.805
2020,23.99,15.454
2017,18.417,42.283
2021,18.338,33.738
2019,18.495,32.046
2020,18.75,49.969
2019,18.995,59.079
2015,7.988,141.526
2020,20.985,40.474
2019,23.199,33.403
2019,21.718,49.217
2022,24.211,1.483
2021,27.922,8.741
2020,20.995,34.489
2020,18.996,38.996
2013,6.995,117.8
2020,15.798,59.103
2019,15.495,61.309
2019,26.999,28.747
2022,24.949,4.93
2019,20.426,27.668
2019,24.444,20.231
2019,25.998,37.578
2019,15.799,61.539
2015,13.907,82.889
2020,23.997,19.37
2017,13.9,81.162
2020,16.977,35.794
2020,22.495,13.326
2021,20.795,28.884
2019,25,20.586
2020,20.995,16.08
2020,22.444,15.479
2020,21.9,61.608
2020,17.49,58.618
2017,12.777,85.468
2020,22.494,19.746
2020,15.99,50.955
2017,17.647,26.623
2021,31.995,5.444
2019,22.49,24.084
2020,21.573,13.197
2022,24.588,7.969
2020,22.895,23.47
2020,22.998,34.329
2019,25.639,23.16
2021,23.391,10.617
2020,29.499,6.651
2020,21.557,33.501
2021,23.45,59.58
2021,20.888,42.082
2020,24.799,6.815
2019,24.997,30.042
2020,28.9,27.346
2018,16.8,80.8
2020,19.5,61.589
2020,21.43,4.562
2019,24.79,22.571
2017,17.985,33.863
2019,23.9,25.741
2019,19.995,30.239
2020,22.588,12.632
2020,16.493,61.19
2020,27.995,11.7
2019,22.204,43.119
2019,23.69,19.246
2019,17.998,35.505
2021,20.495,43.735
2017,13.218,36.947
2020,21.9,61.687
2021,23.251,3.399
2021,21.403,58.808
2020,20.744,63.162
2020,19.793,59.02
2016,14.999,78.37
2020,25.49,17.051
2019,17.9,45.35
2021,27.234,13.582
2020,16.888,65.192
2020,25.688,3.771
2020,21.649,61.004
2021,17.99,50.283
2019,22.99,36.085
2010,6.995,102.717
2019,20.994,26.645
2019,22.997,4.688
2014,12.495,76.5
2016,16.39,33.997
2019,21.9,40.364
2020,25.777,32.556
2021,20.429,37.593
2020,18.965,49.553
2016,15.999,73.045
2022,26.59,5.152
2020,22.668,29.799
2020,21.476,23.052
2020,22.997,45.079
2021,26.994,5.636
2020,16.5,61.077
2020,20.905,47.844
2017,15.495,64.351
2020,21.823,57.822
2013,13.995,33.23
2022,25,7.14
2020,17.501,57.981
2019,16,47.083
